Make,Model,Details,Storage,Device,Monthly Policy Price,Replacement Price,Release Price,Release Price url,Os,InitialVersion,MaxVersion,Processor,Cores,Memory,SSD,Physical Screen,Resolution,Camera,4G,Frequency,Release Date,Picture,Urls,Replacement Make,Replacement Model,Replacement Memory
Samsung,Galaxy A12,Samsung Galaxy A12,64,'a12',2.99,,£169 ,https://www.samsung.com/uk/smartphones/galaxy-a/galaxy-a12-blue-64gb-sm-a125fzbveua/,Android,10.0,,2350,8,4096,Y,164,720 x 1600,48,Y,850 / 900 / 1800 / 1900,11/20,,,,,
Realme,7 5G,Realme 7 5G,128,'RMX2170L1',5.49,,£279 ,https://www.amazon.co.uk/dp/B08MQ1CJ1G,Android,10.0,,2400,8,6144,Y,162.2,1080 x 2400,48,Y,850 / 900 / 1800 / 1900,11/20,,,,,
Huawei,P Smart Z,Huawei P Smart Z,64,'HWSTK-HF',4.99,,£240 ,https://www.techradar.com/uk/news/the-huawei-p-smart-z-is-the-companys-first-phone-with-a-pop-up-camera,Android,9.0,,2200,8,4096,Y,196.8,1080 x 2340,16,Y,850 / 900 / 1800 / 1900,6/19,,,,,
