Make,Model,Details,Storage,Device,Monthly Policy Price,Replacement Price,Release Price,Release Price url,Os,InitialVersion,MaxVersion,Processor,Cores,Memory,SSD,Physical Screen,Resolution,Camera,4G,Frequency,Release Date,Picture,Urls,Replacement Make,Replacement Model,Replacement Memory
Apple,iPhone SE2,Apple iPhone SE2,64,"'iPhone12,8'",5.99,,£419 ,https://www.techradar.com/uk/news/new-iphone-se,iOS,13,,2650,6,3072,N,138.4,750 x 1334,12,Y,850 / 900 / 1800 / 1900,4/19,,,,,
Apple,iPhone SE2,Apple iPhone SE2,128,"'iPhone12,8'",5.99,,£469 ,https://www.techradar.com/uk/news/new-iphone-se,iOS,13,,2650,6,3072,N,138.4,750 x 1334,12,Y,850 / 900 / 1800 / 1900,4/19,,,,,
Apple,iPhone SE2,Apple iPhone SE2,256,"'iPhone12,8'",6.99,,£569 ,https://www.techradar.com/uk/news/new-iphone-se,iOS,13,,2650,6,3072,N,138.4,750 x 1334,12,Y,850 / 900 / 1800 / 1900,4/19,,,,,
