Make,Model,Details,Storage,Device,Monthly Policy Price,Replacement Price,Release Price,Release Price url,Os,InitialVersion,MaxVersion,Processor,Cores,Memory,SSD,Physical Screen,Resolution,Camera,4G,Frequency,Release Date,Picture,Urls,Replacement Make,Replacement Model,Replacement Memory
Xiaomi,Redmi Note 10S,Xiaomi Redmi Note 10S,128,"'maltose','rosemary','secret'",4.99,,£229 ,https://www.amazon.co.uk/Xiaomi-Redmi-Note-10S-Smartphone/dp/B0937K33DK,Android,11.0,,2050,8,6144,Y,160.5,1080 x 2400,64,Y,850 / 900 / 1800 / 1900 / 2100,3/21,,,,,
Motorola,Moto G100,Motorola Moto G100,128,'nio',5.99,,£449 ,https://www.techradar.com/uk/reviews/moto-g100-review,Android,11.0,,3200,8,8192,Y,168.4,1080 x 2520,64,Y,850 / 900 / 1800 / 1900 / 2100,3/21,,,,,
Motorola,Moto G100,Motorola Moto G100,256,'nio',5.99,,£499 ,https://www.techradar.com/uk/reviews/moto-g100-review,Android,11.0,,3200,8,12288,Y,168.4,1080 x 2520,64,Y,850 / 900 / 1800 / 1900 / 2100,3/21,,,,,
