Make,Model,Details,Storage,Device,Monthly Policy Price,Replacement Price,Release Price,Release Price url,Os,InitialVersion,MaxVersion,Processor,Cores,Memory,SSD,Physical Screen,Resolution,Camera,4G,Frequency,Release Date,Picture,Urls,Replacement Make,Replacement Model,Replacement Memory
OnePlus,7T Pro,OnePlus 7T Pro,256,'OnePlus7TPro',7.99,,£699 ,https://www.oneplus.com/uk/7t-pro?from=7t_pro_MCL,Android,10.0,,2420,8,8192,N,162.6,1440 x 3120,48,Y,,10/18,,,,,
OnePlus,7T Pro McLaren Edition,"OnePlus 7T Pro McLaren Edition
",256,'OnePlus7TPro',8.99,,£799 ,https://www.oneplus.com/uk/7t-pro-mclaren?from=7t-pro,Android,10.0,,2420,8,12288,N,162.6,1440 x 3120,48,Y,,10/18,,,,,
