Make,Model,Details,Storage,Device,Monthly Policy Price,Replacement Price,Release Price,Release Price url,Os,InitialVersion,MaxVersion,Processor,Cores,Memory,SSD,Physical Screen,Resolution,Camera,4G,Frequency,Release Date,Picture,Urls,Replacement Make,Replacement Model,Replacement Memory
Asus,Zenfone 4 Max,Asus Zenfone 4 Max,32,"'ASUS_X00HD_1', 'ASUS_X00HD_2', 'ASUS_X00HD_3', 'ASUS_X00HD_4', 'ASUS_X00ID', 'ASUS_X00IDB', 'ASUS_X00IDC'",4.99,,£250 ,http://www.trustedreviews.com/reviews/asus-zenfone-4-max,Android,7.0,,1400,8,3072,Y,139.7,720 x 1280,13,Y,850 / 900 / 1800 / 1900 ,9/17,,,,,
Asus,Zenfone 4,Asus Zenfone 4,64,"'ASUS_T00I', 'ASUS_T00Q', 'ASUS_Z01KDA', 'ASUS_Z01KD_1', 'ASUS_Z01KD_2'",5.99,,£449 ,http://www.techradar.com/news/dual-lens-asus-zenfone-4-and-zenfone-4-max-are-coming-to-the-uk,Android,7.1.1,,2200,8,6144,Y,139.7,1080 x 1920,12,Y,850 / 900 / 1800 / 1900 ,10/17,,,,,
Sony,Xperia XA1,Sony Xperia XA1,32,"'G3112', 'G3116', 'G3121','G3123','G3125'",4.99,,£229 ,http://www.techradar.com/reviews/sony-xperia-xa1-review,Android,7.0,,2300,8,3072,Y,127,720 x 1280,23,Y,850 / 900 / 1800 / 1900 ,4/17,,,,,
Sony,Xperia XZ1 Compact,Sony Xperia XZ1 Compact,32,"'G8441','SO-02K'",5.99,,£499 ,http://www.techradar.com/reviews/sony-xperia-xz1-compact-review,Android,8.0,,2450,8,4096,Y,116.84,720 x 1280,19,Y,850 / 900 / 1800 / 1900 ,10/17,,,,,
Nokia,3,Nokia 3,16,'NE1',3.99,,£130 ,http://www.techradar.com/reviews/nokia-3,Android,7.0,7.1.2,1400,8,2048,Y,127,720 x 1280,8,Y,850 / 900 / 1800 / 1900 ,6/17,,,,,
Samsung,Galaxy J7 (2016),Samsung Galaxy J7 (2016),16,"'j7eltemtr','j7eltetmo','j7xelte','j7xeltecmcc','j7xeltektt','j7xltectc'",4.99,,£230 ,http://uk.pcmag.com/samsung-galaxy-j7/82518/review/samsung-galaxy-j7,Android,6.0.1,7.0,1600,8,2048,Y,139.7,720 x 1280,13,Y,850 / 900 / 1800 / 1900 ,4/16,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
