Make,Model,Details,Storage,Device,Monthly Policy Price,Replacement Price,Release Price,Release Price url,Os,InitialVersion,MaxVersion,Processor,Cores,Memory,SSD,Physical Screen,Resolution,Camera,4G,Frequency,Release Date,Picture,Urls,Replacement Make,Replacement Model,Replacement Memory
Apple,iPhone 13 mini,Apple iPhone 13 mini,128,"'iPhone14,1'",7.99,,£679 ,https://www.apple.com/uk/shop/buy-iphone/iphone-13,iOS,15.0,,3200,6,6144,N,131.5,1080 x 2340,12,Y,850 / 900 / 1800 / 1900 / 2100,9/21,,,,,
Apple,iPhone 13 mini,Apple iPhone 13 mini,256,"'iPhone14,1'",8.99,,£779 ,https://www.apple.com/uk/shop/buy-iphone/iphone-13,iOS,15.0,,3200,6,6144,N,131.5,1080 x 2340,12,Y,850 / 900 / 1800 / 1900 / 2100,9/21,,,,,
Apple,iPhone 13 mini,Apple iPhone 13 mini,512,"'iPhone14,1'",8.99,,£979 ,https://www.apple.com/uk/shop/buy-iphone/iphone-13,iOS,15.0,,3200,6,6144,N,131.5,1080 x 2340,12,Y,850 / 900 / 1800 / 1900 / 2100,9/21,,,,,
Apple,iPhone 13,Apple iPhone 13,128,"'iPhone14,2'",8.99,,£779 ,https://www.apple.com/uk/shop/buy-iphone/iphone-13,iOS,15.0,,3200,6,6144,N,146.7,1170 x 2532,12,Y,850 / 900 / 1800 / 1900 / 2100,9/21,,,,,
Apple,iPhone 13,Apple iPhone 13,256,"'iPhone14,2'",8.99,,£879 ,https://www.apple.com/uk/shop/buy-iphone/iphone-13,iOS,15.0,,3200,6,6144,N,146.7,1170 x 2532,12,Y,850 / 900 / 1800 / 1900 / 2100,9/21,,,,,
Apple,iPhone 13,Apple iPhone 13,512,"'iPhone14,2'",9.99,,"£1079 ",https://www.apple.com/uk/shop/buy-iphone/iphone-13,iOS,15.0,,3200,6,6144,N,146.7,1170 x 2532,12,Y,850 / 900 / 1800 / 1900 / 2100,9/21,,,,,
Apple,iPhone 13 Pro,Apple iPhone 13 Pro,128,"'iPhone14,3'",8.99,,£949 ,https://www.apple.com/uk/shop/buy-iphone/iphone-13-pro,iOS,15.0,,3200,6,8192,N,146.7,1170 x 2532 ,12,Y,850 / 900 / 1800 / 1900 / 2100,9/21,,,,,
Apple,iPhone 13 Pro,Apple iPhone 13 Pro,256,"'iPhone14,3'",9.99,,"£1049 ",https://www.apple.com/uk/shop/buy-iphone/iphone-13-pro,iOS,15.0,,3200,6,8192,N,146.7,1170 x 2532,12,Y,850 / 900 / 1800 / 1900 / 2100,9/21,,,,,
Apple,iPhone 13 Pro,Apple iPhone 13 Pro,512,"'iPhone14,3'",9.99,,"£1249 ",https://www.apple.com/uk/shop/buy-iphone/iphone-13-pro,iOS,15.0,,3200,6,8192,N,146.7,1170 x 2532 ,12,Y,850 / 900 / 1800 / 1900 / 2100,9/21,,,,,
Apple,iPhone 13 Pro,Apple iPhone 13 Pro,1024,"'iPhone14,3'",10.99,,"£1449 ",https://www.apple.com/uk/shop/buy-iphone/iphone-13-pro,iOS,15.0,,3200,6,8192,N,146.7,1170 x 2532 ,12,Y,850 / 900 / 1800 / 1900 / 2100,9/21,,,,,
Apple,iPhone 13 Pro Max,Apple iPhone 13 Pro Max,128,"'iPhone14,4'",9.99,,"£1049 ",https://www.apple.com/uk/shop/buy-iphone/iphone-13-pro,iOS,15.0,,3200,6,8192,N,160.8,1284 x 2778,12,Y,850 / 900 / 1800 / 1900 / 2100,9/21,,,,,
Apple,iPhone 13 Pro Max,Apple iPhone 13 Pro Max,256,"'iPhone14,4'",9.99,,"£1149 ",https://www.apple.com/uk/shop/buy-iphone/iphone-13-pro,iOS,15.0,,3200,6,8192,N,160.8,1284 x 2778,12,Y,850 / 900 / 1800 / 1900 / 2100,9/21,,,,,
Apple,iPhone 13 Pro Max,Apple iPhone 13 Pro Max,512,"'iPhone14,4'",10.99,,"£1349 ",https://www.apple.com/uk/shop/buy-iphone/iphone-13-pro,iOS,15.0,,3200,6,8192,N,160.8,1284 x 2778,12,Y,850 / 900 / 1800 / 1900 / 2100,9/21,,,,,
Apple,iPhone 13 Pro Max,Apple iPhone 13 Pro Max,1024,"'iPhone14,4'",11.99,,"£1549 ",https://www.apple.com/uk/shop/buy-iphone/iphone-13-pro,iOS,15.0,,3200,6,8192,N,160.8,1284 x 2778,12,Y,850 / 900 / 1800 / 1900 / 2100,9/21,,,,,
