Make,Model,Details,Storage,Device,Monthly Policy Price,Replacement Price,Release Price,Release Price url,Os,InitialVersion,MaxVersion,Processor,Cores,Memory,SSD,Physical Screen,Resolution,Camera,4G,Frequency,Release Date,Picture,Urls,Replacement Make,Replacement Model,Replacement Memory
Samsung,Galaxy Note20,Samsung Galaxy Note20,256,'c1s',8.99,,£849 ,https://www.techradar.com/uk/reviews/samsung-galaxy-note-20-ultra,Android,10.0,,2730,8,8192,N,161.6,1080 x 2400,64,Y,850 / 900 / 1800 / 1900,8/20,,,,,
Samsung,Galaxy Note20 5G,Samsung Galaxy Note20 5G,256,"'c1q','c1s'",8.99,,£949 ,https://www.techradar.com/uk/reviews/samsung-galaxy-note-20-ultra,Android,10.0,,2730,8,8192,N,161.6,1080 x 2400,64,Y,850 / 900 / 1800 / 1900,8/20,,,,,
Samsung,Galaxy Note20 Ultra 5G,Samsung Galaxy Note20 Ultra 5G,256,"'c2q','c2s'",9.99,,"£1179 ",https://www.techradar.com/uk/reviews/samsung-galaxy-note-20-ultra,Android,10.0,,2730,8,12288,N,164.8,1440 x 3088,108,Y,850 / 900 / 1800 / 1900,8/20,,,,,
Samsung,Galaxy Note20 Ultra 5G,Samsung Galaxy Note20 Ultra 5G,512,"'c2q','c2s'",10.99,,"£1279 ",https://www.techradar.com/uk/reviews/samsung-galaxy-note-20-ultra,Android,10.0,,2730,8,12288,N,164.8,1440 x 3088,108,Y,850 / 900 / 1800 / 1900,8/20,,,,,
