Make,Model,Details,Storage,Device,Monthly Policy Price,Replacement Price,Release Price,Release Price url,Os,InitialVersion,MaxVersion,Processor,Cores,Memory,SSD,Physical Screen,Resolution,Camera,4G,Frequency,Release Date,Picture,Urls,Replacement Make,Replacement Model,Replacement Memory
OnePlus,9,OnePlus 9,128,'OnePlus9',7.99,,£629 ,https://www.oneplus.com/uk/oneplus-9,Android,11.0,,2840,8,8192,N,160,1080 x 2400,48,Y,850 / 900 / 1800 / 1900 / 2100,3/21,,,,,
OnePlus,9,OnePlus 9,256,'OnePlus9',7.99,,£729 ,https://www.oneplus.com/uk/oneplus-9,Android,11.0,,2840,8,12288,N,160,1080 x 2400,48,Y,850 / 900 / 1800 / 1900 / 2100,3/21,,,,,
OnePlus,9 Pro,OnePlus 9 Pro,128,'OnePlus9Pro',8.99,,£829 ,https://www.oneplus.com/uk/oneplus-9-pro,Android,11.0,,2840,8,8192,N,163.2,1440 x 3216,48,Y,850 / 900 / 1800 / 1900 / 2100,3/21,,,,,
OnePlus,9 Pro,OnePlus 9 Pro,256,'OnePlus9Pro',8.99,,£929 ,https://www.oneplus.com/uk/oneplus-9-pro,Android,11.0,,2840,8,12288,N,163.2,1440 x 3216,48,Y,850 / 900 / 1800 / 1900 / 2100,3/21,,,,,
