Make,Model,Details,Storage,Device,Monthly Policy Price,Replacement Price,Release Price,Release Price url,Os,InitialVersion,MaxVersion,Processor,Cores,Memory,SSD,Physical Screen,Resolution,Camera,4G,Frequency,Release Date,Picture,Urls,Replacement Make,Replacement Model,Replacement Memory
HTC,HTC U11 Life,HTC U11 Life,64,"'htc_ocla1_sprout', 'htc_oclul'",6.99,,£349.00,https://www.techadvisor.co.uk/new-product/mobile-phone/htc-u11-plus-life-3665682/,Android,8.0,,2200,8,4096,Y,132.08,1080 x 1920,16,Y,850 / 900 / 1800 / 1900 ,11/17,,,,,
Sony,Xperia XZ1,Sony Xperia XZ1,64,"'701SO', 'G8341', 'G8342', 'G8343', 'SO-01K', 'SOV36'",8.49,,£599.00,http://www.techradar.com/reviews/sony-xperia-xz1-review,Android,8.0,,2450,8,4096,Y,132.08,1080 x 1920,19,Y,850 / 900 / 1800 / 1900 ,9/17,,,,,
TCT (Alcatel),U5 3G,Alcatel U5 3G,8,"'4047D', '4047G', '4047N', '4047X', '4047A', '4047F'",5.49,,£69.95,http://www.argos.co.uk/product/7528028,Android,6.0,,1100,4,1024,Y,127,480 x 854,1,N,850 / 900 / 1800 / 1900 ,7/17,,,,,
Asus,Zenfone AR,Asus Zenfone AR,128,"'ASUS_A002A', 'ASUS_A002'",10.49,,£799.00,http://www.techradar.com/reviews/asus-zenfone-ar-review,Android,7.0,,2400,4,6144,Y,144.78,1440 x 2560,23,Y,850 / 900 / 1800 / 1900 ,6/17,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
