Make,Model,Details,Storage,Device,Monthly Policy Price,Replacement Price,Release Price,Release Price url,Os,InitialVersion,MaxVersion,Processor,Cores,Memory,SSD,Physical Screen,Resolution,Camera,4G,Frequency,Release Date,Picture,Urls,Replacement Make,Replacement Model,Replacement Memory
OnePlus,10 Pro,OnePlus 10 Pro,128,"'OnePlus10Pro', 'NE2210'",8.99,,£799 ,https://www.oneplus.com/uk/oneplus-10-pro,Android,12.0,,3000,8,8192,N,163,1440 x 3216,48,Y,850 / 900 / 1800 / 1900 / 2100,1/22,,,,,
OnePlus,10 Pro,OnePlus 10 Pro,256,"'OnePlus10Pro', 'NE2210'",8.99,,£899 ,https://www.oneplus.com/uk/oneplus-10-pro,Android,12.0,,3000,8,12288,N,163,1440 x 3216,48,Y,850 / 900 / 1800 / 1900 / 2100,1/22,,,,,
Samsung,Galaxy A03,Samsung Galaxy A03,32,'a03',2.99,,£140 ,https://www.amazon.co.uk/Samsung-Smartphone-6-5-inch-Infinity-V-expandable/dp/B0987D4B3S,Android,11.0,,1600,8,4096,Y,164.2,720 x 1600,48,Y,850 / 900 / 1800 / 1900 / 2100,1/21,,,,,
Samsung,Galaxy A03,Samsung Galaxy A03,64,'a03',2.99,,£190 ,https://www.amazon.co.uk/Samsung-Smartphone-6-5-inch-Infinity-V-expandable/dp/B0987D4B3S,Android,11.0,,1600,8,4096,Y,164.2,720 x 1600,48,Y,850 / 900 / 1800 / 1900 / 2100,1/21,,,,,
