Make,Model,Details,Storage,Device,Monthly Policy Price,Replacement Price,Release Price,Release Price url,Os,InitialVersion,MaxVersion,Processor,Cores,Memory,SSD,Physical Screen,Resolution,Camera,4G,Frequency,Release Date,Picture,Urls,Replacement Make,Replacement Model,Replacement Memory
Huawei,Mate 8,Huawei Mate 8,32,'HWNXT',5.99,,£429.29,http://www.trustedreviews.com/huawei-mate-8-review,Android,6.0,,2300,8,3072,Y,152.4,1080 x 1920,16,Y,850 / 900 / 1800 / 1900 ,11/15,,http://www.gsmarena.com/huawei_mate_8-7239.php,,,
OnePlus,2,OnePlus 2 16G,16,'OnePlus2',4.99,,£239.00,http://www.trustedreviews.com/oneplus-2-review,Android,5.1,6.0.1,1560,8,3072,N,139.7,1080 x 1920,13,Y,850 / 900 / 1800 / 1900 ,8/15,,http://www.gsmarena.com/oneplus_2-6902.php,,,
OnePlus,2,OnePlus 2 64G,64,'OnePlus2',5.49,,£289.00,http://www.trustedreviews.com/oneplus-2-review,Android,5.1,6.0.1,1560,8,4096,N,139.7,1080 x 1920,13,Y,850 / 900 / 1800 / 1900 ,8/15,,http://www.gsmarena.com/oneplus_2-6902.php,,,
OnePlus,3,OnePlus 3 64G,64,'OnePlus3',5.49,,£329.00,http://www.trustedreviews.com/oneplus-3-review,Android,6.0.1,,2150,4,6144,N,139.7,1080 x 1920,16,Y,850 / 900 / 1800 / 1900 ,6/16,,http://www.gsmarena.com/oneplus_3-7995.php,,,
Vodafone,Smart ultra 6,Vodafone Smart ultra 6,16,"'P839V55', 'msm8916_32'",3.99,,£125.00,http://www.trustedreviews.com/vodafone-smart-ultra-6-review,Android,5.1,,1500,8,2048,Y,139.7,1080 x 1920,13,Y,850 / 900 / 1800 / 1900 ,6/15,,http://www.gsmarena.com/vodafone_smart_ultra_6-7313.php,,,
LG,G5,LG G5,32,'h1',6.99,,£529.00,http://www.trustedreviews.com/lg-g5-review,Android,6.0.1,,2150,4,4096,Y,134.62,1440 x 2560,16,Y,850 / 900 / 1800 / 1900 ,4/16,,http://www.gsmarena.com/lg_g5-7815.php,,,
Samsung,Galaxy J5,Samsung Galaxy J5,8,"j53g','j5lte','j5ltechn','j5ltekx','j5nlte','j5ylte'",4.99,,£160.00,http://www.expertreviews.co.uk/mobile-phones/1404479/samsung-galaxy-j5-review-a-new-moto-g-killer,Android,5.1,6.0.1,1200,4,1536,Y,127,720 x 1280,13,Y,850 / 900 / 1800 / 1900 ,6/15,,http://www.gsmarena.com/samsung_galaxy_j5-7184.php,,,
Samsung,Galaxy J5 (2016),Samsung Galaxy J5 (2016),16,"j5x3g','j5xltecmcc','j5xnlte','j5xnltektt','j5xnltelgt','j5xnlteskt'",4.99,,£188.99,http://www.mobilephones.com/reviews/samsung-galaxy-j5-2016-review/,Android,6.0.1,,1200,4,2048,Y,132.08,720 x 1280,13,Y,850 / 900 / 1800 / 1900 ,3/16,,http://www.gsmarena.com/samsung_galaxy_j5_(2016)-7869.php,,,
HTC,10,HTC 10 32G,32,"'htc_pmec2tuhl','htc_pmeuhl','htc_pmewl'",6.99,,£569.99,http://www.trustedreviews.com/htc-10-review,Android,6.0.1,7.0,2150,4,4096,Y,132.08,1440 x 2560,12,Y,850 / 900 / 1800 / 1900 ,5/16,,http://www.gsmarena.com/htc_10-7884.php,,,
Samsung,Galaxy Note 7,Samsung Galaxy Note 7,64,"'gracelte','graceltektt','graceltelgt','gracelteskt','graceqlteacg','graceqlteatt','graceqltebmc','graceqltechn','graceqltelra','graceqltespr','graceqltetfnvzw','graceqltetmo','graceqlteusc','graceqltevzw'",7.99,,£749.00,http://www.trustedreviews.com/samsung-galaxy-note-7-review,Android,6.0.1,7.0,2300,8,4096,Y,144.78,1440 x 2560,12,Y,850 / 900 / 1800 / 1900 ,9/16,,http://www.gsmarena.com/samsung_galaxy_note7-8082.php,,,
Motorola,Moto E3,Motorola Moto E (3rd gen),8,'taidos_row',3.99,,£99.00,http://www.techradar.com/news/phone-and-communications/mobile-phones/motorola-moto-e3-release-date-news-and-features-1324878,Android,6.0.1,,1000,4,1024,Y,127,720 x 1280,8,Y,850 / 900 / 1800 / 1900 ,9/16,,http://www.gsmarena.com/motorola_moto_e_(3rd_gen)-8198.php,,,
Motorola,Moto G4 Play,Motorola Moto G4 Play 8G,8,"'harpia','harpia_n','harpia_t'",3.99,,£129.00,http://www.pcadvisor.co.uk/new-product/mobile-phone/new-motorola-moto-g4-plus-moto-g4-play-2016-release-date-price-specs-uk-3601187/,Android,6.0.1,,1200,4,1024,Y,127,720 x 1280,8,Y,850 / 900 / 1800 / 1900 ,8/16,,http://www.gsmarena.com/motorola_moto_g4_play-8104.php,,,
