Make,Model,Details,Storage,Device,Monthly Policy Price,Replacement Price,Release Price,Release Price url,Os,InitialVersion,MaxVersion,Processor,Cores,Memory,SSD,Physical Screen,Resolution,Camera,4G,Frequency,Release Date,Picture,Urls,Replacement Make,Replacement Model,Replacement Memory
Xiaomi,Mi 10 Lite,Xiaomi Mi 10 Lite 5G,64,'monet',4.99,,£250 ,https://www.gsmarena.com/xiaomi_mi_10_lite_5g-review-2133.php,Android,10.0,,2400,8,6144,Y,163.7,1080 x 2400 ,48,Y,700 / 850 / 900 / 1800 / 1900 / 2100,9/20,,,,,
Xiaomi,Mi 10 Lite,Xiaomi Mi 10 Lite 5G,128,'monet',5.49,,£290 ,https://www.gsmarena.com/xiaomi_mi_10_lite_5g-review-2133.php,Android,10.0,,2400,8,6144,Y,163.7,1080 x 2400 ,48,Y,700 / 850 / 900 / 1800 / 1900 / 2100,9/20,,,,,
Xiaomi,Mi 10 Lite,Xiaomi Mi 10 Lite 5G,256,'monet',6.99,,£530 ,https://www.gsmarena.com/xiaomi_mi_10_lite_5g-review-2133.php,Android,10.0,,2400,8,8192,Y,163.7,1080 x 2400 ,48,Y,700 / 850 / 900 / 1800 / 1900 / 2100,9/20,,,,,
