Make,Model,Details,Storage,Device,Monthly Policy Price,Replacement Price,Release Price,Release Price url,Os,InitialVersion,MaxVersion,Processor,Cores,Memory,SSD,Physical Screen,Resolution,Camera,4G,Frequency,Release Date,Picture,Urls,Replacement Make,Replacement Model,Replacement Memory
Oppo,Find X2 Pro,Oppo Find X2 Pro,256,'OP4BA2L1',9.99,,"£1099 ",https://www.techradar.com/uk/reviews/oppo-find-x2-pro,Android,10.0,,2840,8,12288,N,165.2,1440 x 3168,48,Y,850 / 900 / 1800 / 1900,3/20,,,,,
Oppo,Find X2 Pro,Oppo Find X2 Pro,512,'OP4BA2L1',8.99,,"£1000 ",https://www.techradar.com/uk/reviews/oppo-find-x2-pro,Android,10.0,,2840,8,12288,N,165.2,1440 x 3168,48,Y,850 / 900 / 1800 / 1900,3/20,,,,,
Huawei,P30 lite 2020,Huawei P30 lite 2020,256,'HWMAR',5.49,,£299 ,https://www.techradar.com/uk/news/new-huawei-p30-lite-is-revamped-version-of-last-years-phone-and-its-on-sale-now,Android,9.0,,2200,8,6144,Y,152.9,1080 x 2312,48,Y,850 / 900 / 1800 / 1900,1/20,,,,,
Huawei,P30 lite 2020,Huawei P30 lite 2020,128,'HWMAR',4.99,,£249 ,https://www.techradar.com/uk/news/new-huawei-p30-lite-is-revamped-version-of-last-years-phone-and-its-on-sale-now,Android,9.0,,2200,8,6144,Y,152.9,1080 x 2312,48,Y,850 / 900 / 1800 / 1900,1/20,,,,,
