Make,Model,Details,Storage,Device,Monthly Policy Price,Replacement Price,Release Price,Release Price url,Os,InitialVersion,MaxVersion,Processor,Cores,Memory,SSD,Physical Screen,Resolution,Camera,4G,Frequency,Release Date,Picture,Urls,Replacement Make,Replacement Model,Replacement Memory
Samsung,Galaxy XCover 4s,Samsung Galaxy Xcover 4s,32,'xcover4s',5.49,,£299 ,https://www.amazon.co.uk/Samsung-Enterprise-Dual-SIM-Android-Smartphone-Black/dp/B07VK9MMPB,Android,9.0,,2100,8,3072,Y,146.2,720 x 1280,16,Y,850 / 900 / 1800 / 1900,7/19,,,,,
Sony,Xperia L1,Sony Xperia L1,16,"'G3311','G3312','G331",2.99,,£160 ,https://www.techradar.com/uk/reviews/sony-xperia-l1,Android,7.0,,1450,4,2048,Y,151,720 x 1280,13,Y,850 / 900 / 1800 / 1900,6/17,,,,,
