Make,Model,Details,Storage,Device,Monthly Policy Price,Replacement Price,Release Price,Release Price url,Os,InitialVersion,MaxVersion,Processor,Cores,Memory,SSD,Physical Screen,Resolution,Camera,4G,Frequency,Release Date,Picture,Urls,Replacement Make,Replacement Model,Replacement Memory
Apple,iPhone 11,Apple iPhone 11,64,"'iPhone12,1'",7.99,,£729 ,https://www.apple.com/uk/shop/buy-iphone/iphone-11,iOS,13,,2900,8,4096,N,150.9,828 x 1792,12,Y,,9/19,,,,,
Apple,iPhone 11,Apple iPhone 11,128,"'iPhone12,1'",8.99,,£779 ,https://www.apple.com/uk/shop/buy-iphone/iphone-11,iOS,13,,2900,8,4096,N,150.9,828 x 1792,12,Y,,9/19,,,,,
Apple,iPhone 11,Apple iPhone 11,256,"'iPhone12,1'",8.99,,£879 ,https://www.apple.com/uk/shop/buy-iphone/iphone-11,iOS,13,,2900,8,4096,N,150.9,828 x 1792,12,Y,,9/19,,,,,
Apple,iPhone 11 Pro,Apple iPhone 11 Pro,64,"'iPhone12,3'",9.99,,"£1049 ",https://www.apple.com/uk/shop/buy-iphone/iphone-11-pro,iOS,13,,2900,8,6144,N,144,1125 x 2436,12,Y,,9/19,,,,,
Apple,iPhone 11 Pro,Apple iPhone 11 Pro,256,"'iPhone12,3'",9.99,,"£1199 ",https://www.apple.com/uk/shop/buy-iphone/iphone-11-pro,iOS,13,,2900,8,6144,N,144,1125 x 2436,12,Y,,9/19,,,,,
Apple,iPhone 11 Pro,Apple iPhone 11 Pro,512,"'iPhone12,3'",10.99,,"£1399 ",https://www.apple.com/uk/shop/buy-iphone/iphone-11-pro,iOS,13,,2900,8,6144,N,144,1125 x 2436,12,Y,,9/19,,,,,
Apple,iPhone 11 Pro Max,Apple iPhone 11 Pro Max,64,"'iPhone12,5'",9.99,,"£1149 ",https://www.apple.com/uk/shop/buy-iphone/iphone-11-pro,iOS,13,,2900,8,6144,N,158,1242 x 2688,12,Y,,9/19,,,,,
Apple,iPhone 11 Pro Max,Apple iPhone 11 Pro Max,256,"'iPhone12,5'",10.99,,"£1299 ",https://www.apple.com/uk/shop/buy-iphone/iphone-11-pro,iOS,13,,2900,8,6144,N,158,1242 x 2688,12,Y,,9/19,,,,,
Apple,iPhone 11 Pro Max,Apple iPhone 11 Pro Max,512,"'iPhone12,5'",10.99,,"£1499 ",https://www.apple.com/uk/shop/buy-iphone/iphone-11-pro,iOS,13,,2900,8,6144,N,158,1242 x 2688,12,Y,,9/19,,,,,
