Make,Model,Details,Storage,Device,Monthly Policy Price,Replacement Price,Release Price,Release Price url,Os,InitialVersion,MaxVersion,Processor,Cores,Memory,SSD,Physical Screen,Resolution,Camera,4G,Frequency,Release Date,Picture,Urls,Replacement Make,Replacement Model,Replacement Memory
Samsung,Galaxy M31,Samsung Galaxy M31,64,'m31',4.99,,£245 ,https://www.expertreviews.co.uk/samsung/1412270/samsung-galaxy-m31-review,Android,10.0,,2300,8,6144,Y,159.2,1080 x 2340,64,Y,850 / 900 / 1800 / 1900,3/20,,,,,
Samsung,Galaxy M31,Samsung Galaxy M31,128,'m31',5.49,,£279 ,https://www.expertreviews.co.uk/samsung/1412270/samsung-galaxy-m31-review,Android,10.0,,2300,8,6144,Y,159.2,1080 x 2340,64,Y,850 / 900 / 1800 / 1900,3/20,,,,,
Asus,ROG Phone 3,Asus ROG Phone 3,128,'ASUS_I003_1',8.99,,£800 ,https://uk.pcmag.com/smartphones/127867/asus-rog-phone-3,Android,10.0,,3100,8,12288,N,171,1080 x 2340,64,Y,850 / 900 / 1800 / 1900,7/20,,,,,
Asus,ROG Phone 3,Asus ROG Phone 3,256,'ASUS_I003_1',8.99,,£900 ,https://uk.pcmag.com/smartphones/127867/asus-rog-phone-3,Android,10.0,,3100,8,12288,N,171,1080 x 2340,64,Y,850 / 900 / 1800 / 1900,7/20,,,,,
Asus,ROG Phone 3,Asus ROG Phone 3,512,'ASUS_I003_1',9.99,,"£1200 ",https://uk.pcmag.com/smartphones/127867/asus-rog-phone-3,Android,10.0,,3100,8,16384,N,171,1080 x 2340,64,Y,850 / 900 / 1800 / 1900,7/20,,,,,
Motorola,Moto G Pro,Motorola Moto G Pro,128,'sofiap_sprout',5.49,,£290 ,https://www.techradar.com/uk/reviews/moto-g-pro-review,Android,10.0,,2000,8,4096,Y,158.6,1080 x 2300,48,Y,850 / 900 / 1800 / 1900,6/20,,,,,
