Make,Model,Details,Storage,Device,Monthly Policy Price,Replacement Price,Release Price,Release Price url,Os,InitialVersion,MaxVersion,Processor,Cores,Memory,SSD,Physical Screen,Resolution,Camera,4G,Frequency,Release Date,Picture,Urls,Replacement Make,Replacement Model,Replacement Memory
Sony,Xperia 1,Sony Xperia 1,128,"'802SO','J8110','J8170','J9110','SO-03L','SOV40'",8.99,,£849 ,https://www.techradar.com/uk/reviews/sony-xperia-1,Android,9.0,,2840,8,6144,Y,167,1644 x 3840,12,Y,,6/19,,,,,
Xiaomi,Mi 9,Xiaomi Mi 9,64,'cepheus',5.99,,£499 ,https://www.techadvisor.co.uk/review/smartphones/xiaomi-mi9-3692792/,Android,9.0,,2840,8,6144,N,157.5,1080 x 2340,48,Y,,3/19,,,,,
Xiaomi,Mi 9,Xiaomi Mi 9,128,'cepheus',6.99,,£549 ,https://www.techadvisor.co.uk/review/smartphones/xiaomi-mi9-3692792/,Android,9.0,,2840,8,8192,N,157.5,1080 x 2340,48,Y,,3/19,,,,,
