Make,Model,Details,Storage,Device,Monthly Policy Price,Replacement Price,Release Price,Release Price url,Os,InitialVersion,MaxVersion,Processor,Cores,Memory,SSD,Physical Screen,Resolution,Camera,4G,Frequency,Release Date,Picture,Urls,Replacement Make,Replacement Model,Replacement Memory
Google,Pixel 6,Google Pixel 6,128,'oriole',6.99,,£599 ,https://www.techradar.com/uk/reviews/google-pixel-6,Android,12.0,,2800,8,8192,N,158.6,1080 x 2400,50,Y,850 / 900 / 1800 / 1900 / 2100,10/21,,,,,
Google,Pixel 6 Pro,Google Pixel 6 Pro,128,'raven',8.99,,£849 ,https://www.techradar.com/uk/reviews/google-pixel-6,Android,12.0,,2800,8,8192,N,163.9,1440 x 3120,50,Y,850 / 900 / 1800 / 1900 / 2100,10/21,,,,,
Google,Pixel 6 Pro,Google Pixel 6 Pro,256,'raven',8.99,,£949 ,https://www.techradar.com/uk/reviews/google-pixel-6,Android,12.0,,2800,8,12288,N,163.9,1440 x 3120,50,Y,850 / 900 / 1800 / 1900 / 2100,10/21,,,,,
