Make,Model,Details,Storage,Device,Monthly Policy Price,Replacement Price,Release Price,Release Price url,Os,InitialVersion,MaxVersion,Processor,Cores,Memory,SSD,Physical Screen,Resolution,Camera,4G,Frequency,Release Date,Picture,Urls,Replacement Make,Replacement Model,Replacement Memory
Xiaomi,Redmi 7A,Xiaomi Redmi 7A,16,'pine',3.99,,£99 ,https://www.techradar.com/uk/reviews/xiaomi-redmi-7a,Android,7.0,,2000,8,2048,Y,146.3,720 x 1440,12,Y,,7/19,,,,,
Xiaomi,Redmi 7A,Xiaomi Redmi 7A,32,'pine',3.99,,£129 ,https://www.techradar.com/uk/reviews/xiaomi-redmi-7a,Android,7.0,,2000,8,2048,Y,146.3,720 x 1440,12,Y,,7/19,,,,,
Xiaomi,Redmi 7,Xiaomi Redmi 7,16,'onc',3.99,,£99 ,https://www.amazon.co.uk/Xiaomi-Redmi-Snapdragon-4000mAh-Black/dp/B07PLXLGJR,Android,7.0,,1800,8,2048,Y,158.7,720 x 1520,12,Y,,4/19,,,,,
Xiaomi,Redmi 7,Xiaomi Redmi 7,32,'onc',3.99,,£125 ,https://www.amazon.co.uk/Xiaomi-Redmi-Snapdragon-4000mAh-Black/dp/B07PLXLGJR,Android,7.0,,1800,8,3072,Y,158.7,720 x 1520,12,Y,,4/19,,,,,
Xiaomi,Redmi 7,Xiaomi Redmi 7,64,'onc',3.99,,£136 ,https://www.amazon.co.uk/Xiaomi-Redmi-Snapdragon-4000mAh-Black/dp/B07PLXLGJR,Android,7.0,,1800,8,3072,Y,158.7,720 x 1520,12,Y,,4/19,,,,,
Xiaomi,Mi A3,Xiaomi Mi A3,64,'laurel_sprout',4.99,,£193 ,https://www.techadvisor.co.uk/review/smartphones/mi-a3-3699813/,Android,9.0,,2000,8,4096,Y,153.5,720 x 1560,48,Y,,7/19,,,,,
Xiaomi,Mi A3,Xiaomi Mi A3,128,'laurel_sprout',5.49,,£264 ,https://www.techadvisor.co.uk/review/smartphones/mi-a3-3699813/,Android,9.0,,2000,8,4096,Y,153.5,720 x 1560,48,Y,,7/19,,,,,
Xiaomi,Redmi Note 8 Pro,Xiaomi Redmi Note 8 Pro,64,'begonia',5.49,,£280 ,https://www.gearbest.com/cell-phones/pp_009353910414.html?wid=1433363,Android,9.0,,2133,8,6144,Y,161.4,1080 x 2340,64,Y,,8/19,,,,,
Xiaomi,Redmi Note 8 Pro,Xiaomi Redmi Note 8 Pro,128,'begonia',5.49,,£295 ,https://www.gearbest.com/cell-phones/pp_009106852983.html?wid=1433363,Android,9.0,,2133,8,6144,Y,161.4,1080 x 2340,64,Y,,8/19,,,,,
Xiaomi,Mi 9 SE,Xiaomi Mi 9 SE,64,'grus',5.49,,£350 ,https://www.techadvisor.co.uk/review/smartphones/xiaomi-mi-9-se-uk-3697949/,Android,9.0,,2300,8,6144,N,147.5,1080 x 2340,48,Y,,2/19,,,,,
Xiaomi,Mi 9 SE,Xiaomi Mi 9 SE,128,'grus',5.49,,£400 ,https://www.techadvisor.co.uk/review/smartphones/xiaomi-mi-9-se-uk-3697949/,Android,9.0,,2300,8,6144,N,147.5,1080 x 2340,48,Y,,2/19,,,,,
Xiaomi,Mi Mix 3 5G,Xiaomi Mi Mix 3 5G,64,'andromeda',7.99,,£680 ,https://www.o2.co.uk/shop/xiaomi/mi-mix-3-5g,Android,9.0,,2840,8,6144,N,157.9,1080 x 2340,12,Y,,2/19,,,,,
Xiaomi,Mi 9 Lite,Xiaomi Mi 9 Lite,64,'pyxis',5.49,,£275 ,https://www.gearbest.com/cell-phones/pp_009597241757.html?wid=1349303,Android,9.0,,2200,8,6144,Y,156.8,1080 x 2340,48,Y,,9/19,,,,,
Xiaomi,Mi 9 Lite,Xiaomi Mi 9 Lite,128,'pyxis',5.49,,£295 ,https://www.gearbest.com/cell-phones/pp_009554123891.html?wid=1349303,Android,9.0,,2200,8,6144,Y,156.8,1080 x 2340,48,Y,,9/19,,,,,
Xiaomi,Redmi Note 6 Pro,Xiaomi Redmi Note 6 Pro,32,'tulip',4.99,,£219 ,https://www.techradar.com/uk/reviews/xiaomi-redmi-note-6-pro,Android,8.1,,1800,8,3072,Y,157.9,1080 x 2280 ,12,Y,,9/18,,,,,
Xiaomi,Redmi Note 6 Pro,Xiaomi Redmi Note 6 Pro,64,'tulip',4.99,,£249 ,https://www.amazon.co.uk/Xiaomi-Redmi-Note-Pro-Smartphone-Black/dp/B07HXQ16X4,Android,8.1,,1800,8,4096,Y,157.9,1080 x 2280 ,12,Y,,9/18,,,,,
Xiaomi,A2 Lite,Xiaomi A2 Lite,32,'daisy_sprout',4.99,,£155 ,https://www.techradar.com/uk/reviews/xiaomi-mi-a2,Android,8.1,,2000,8,3072,Y,149.3,1080 x 2280,12,Y,,7/18,,,,,
Xiaomi,A2 Lite,Xiaomi A2 Lite,64,'daisy_sprout',4.99,,£200 ,https://www.techradar.com/uk/reviews/xiaomi-mi-a2,Android,8.1,,2000,8,4096,Y,149.3,1080 x 2280,12,Y,,2/18,,,,,
Cat,S61,Cat S61,64,'CatS61',8.99,,£789 ,https://www.techradar.com/uk/reviews/cat-s61,Android,8.0,,2200,8,4096,Y,163,1080 x 1920,16,Y,,2/18,,,,,
Nokia,7.2,Nokia 7.2,64,"'DDVA_sprout','DDV_sprout'",4.99,,£250 ,https://www.techadvisor.co.uk/review/smartphones/nokia-7-2-3701765/,Android,9.0,,2200,8,4096,Y,159.9,1080 x 2280,48,Y,,9/19,,,,,
Nokia,7.2,Nokia 7.2,128,"'DDVA_sprout','DDV_sprout'",5.49,,£300 ,https://www.techadvisor.co.uk/review/smartphones/nokia-7-2-3701765/,Android,9.0,,2200,8,6144,Y,159.9,1080 x 2280,48,Y,,9/19,,,,,
