Make,Model,Details,Storage,Device,Monthly Policy Price,Replacement Price,Release Price,Release Price url,Os,InitialVersion,MaxVersion,Processor,Cores,Memory,SSD,Physical Screen,Resolution,Camera,4G,Frequency,Release Date,Picture,Urls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,iPhone 4S,IPHONE 4S 8G,8,"'iPhone 4s', 'iPhone4,1'",4.99,£175.27,£349.00,http://www.macworld.co.uk/news/iphone/when-will-iphone-4s-be-discontinued-3465728/,iOS,5,9.3,1000,2,512,N,88.9,640 x 960 ,8,N,850 / 900 / 1800 / 1900,9/12,,http://www.gsmarena.com/apple_iphone_4s-4212.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,iPhone 5,IPHONE 5 16G,16,"'iPhone 5', 'iPhone5,1', 'iPhone5,2'",4.99,£235.00,£529.00,http://www.mirror.co.uk/news/technology-science/technology/iphone-5-release-date-launch-1332439,iOS,6,9.3,1300,2,1024,N,101.6,640 x 1136,8,Y,850 / 900 / 1800 / 1900,9/12,,http://www.gsmarena.com/apple_iphone_5-4910.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,iPhone 5,IPHONE 5 32G,32,"'iPhone 5', 'iPhone5,1', 'iPhone5,2'",5.49,,£599.00,http://www.mirror.co.uk/news/technology-science/technology/iphone-5-release-date-launch-1332439,iOS,6,9.3,1300,2,1024,N,101.6,640 x 1136,8,Y,850 / 900 / 1800 / 1900,9/12,,http://www.gsmarena.com/apple_iphone_5-4910.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,iPhone 5,IPHONE 5 64G,64,"'iPhone 5', 'iPhone5,1', 'iPhone5,2'",5.49,,£699.00,http://www.mirror.co.uk/news/technology-science/technology/iphone-5-release-date-launch-1332439,iOS,6,9.3,1300,2,1024,N,101.6,640 x 1136,8,Y,850 / 900 / 1800 / 1900,9/12,,http://www.gsmarena.com/apple_iphone_5-4910.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,iPhone 5C,IPHONE 5C 16G,16,"'iPhone 5c', 'iPhone5,3', 'iPhone5,4'",5.49,,£469,http://www.apple.com/uk/pr/library/2013/09/16iPhone-5s-iPhone-5c-Arrive-on-Friday-September-20.html,iOS,7,9.3,1300,2,1024,N,101.6,641 x 1136,8,Y,850 / 900 / 1800 / 1900,9/13,,http://www.gsmarena.com/apple_iphone_5c-5690.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,iPhone 5C,IPHONE 5C 32G,32,"'iPhone 5c', 'iPhone5,3', 'iPhone5,4'",5.49,,£549,http://www.apple.com/uk/pr/library/2013/09/16iPhone-5s-iPhone-5c-Arrive-on-Friday-September-20.html,iOS,7,9.3,1300,2,1024,N,101.6,642 x 1136,8,Y,850 / 900 / 1800 / 1900,9/13,,http://www.gsmarena.com/apple_iphone_5c-5690.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,iPhone 5C,IPHONE 5C 8G,8,"'iPhone 5c', 'iPhone5,3', 'iPhone5,4'",4.99,,£429.00,http://www.theverge.com/2014/3/18/5518296/iphone-5c-8gb-price-release-date,iOS,7,9.3,1300,2,1024,N,101.6,643 x 1136,8,Y,850 / 900 / 1800 / 1900,9/13,,http://www.gsmarena.com/apple_iphone_5c-5690.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,iPhone 5S,IPHONE 5S 16G,16,"'iPhone 5s', 'iPhone6,1', 'iPhone6,2'",5.64,£235.69,£549,http://www.apple.com/uk/pr/library/2013/09/16iPhone-5s-iPhone-5c-Arrive-on-Friday-September-20.html,iOS,7,9.3,1300,2,1024,N,101.6,644 x 1136,8,Y,850 / 900 / 1800 / 1900,9/13,,http://www.gsmarena.com/apple_iphone_5s-5685.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,iPhone 5S,IPHONE 5S 32G,32,"'iPhone 5s', 'iPhone6,1', 'iPhone6,2'",5.64,£260.49,£629,http://www.apple.com/uk/pr/library/2013/09/16iPhone-5s-iPhone-5c-Arrive-on-Friday-September-20.html,iOS,7,9.3,1300,2,1024,N,101.6,645 x 1136,8,Y,850 / 900 / 1800 / 1900,9/13,,http://www.gsmarena.com/apple_iphone_5s-5685.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,iPhone 5S,IPHONE 5S 64G,64,"'iPhone 5s', 'iPhone6,1', 'iPhone6,2'",6.14,,£709,http://www.apple.com/uk/pr/library/2013/09/16iPhone-5s-iPhone-5c-Arrive-on-Friday-September-20.html,iOS,7,9.3,1300,2,1024,N,101.6,646 x 1136,8,Y,850 / 900 / 1800 / 1900,9/13,,http://www.gsmarena.com/apple_iphone_5s-5685.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
