Make,Model,Details,Storage,Device,Monthly Policy Price,Replacement Price,Release Price,Release Price url,Os,InitialVersion,MaxVersion,Processor,Cores,Memory,SSD,Physical Screen,Resolution,Camera,4G,Frequency,Release Date,Picture,Urls,Replacement Make,Replacement Model,Replacement Memory,
Google,Pixel,Google Pixel 32,32,'sailfish',6.99,,£599.00,http://www.techradar.com/reviews/google-pixel-review,Android,7.1,,2150,4,4096,N,127,1080 x 1920,12,Y,850 / 900 / 1800 / 1900 ,10/16,,http://www.gsmarena.com/google_pixel-8346.php,,,,
Google,Pixel,Google Pixel 128,128,'sailfish',7.99,,£699.00,http://www.techradar.com/reviews/google-pixel-review,Android,7.1,,2150,4,4096,N,127,1080 x 1920,12,Y,850 / 900 / 1800 / 1900 ,10/16,,http://www.gsmarena.com/google_pixel-8346.php,,,,
Google,Pixel XL,Google Pixel XL 32,32,'marlin',7.99,,£719.00,http://www.techradar.com/reviews/google-pixel-xl-review,Android,7.1,,2150,4,4096,N,139.7,1440 x 2560,12,Y,850 / 900 / 1800 / 1900 ,10/16,,http://www.gsmarena.com/google_pixel_xl-8345.php,,,,
Google,Pixel XL,Google Pixel XL 128,128,'marlin',8.99,,£819.00,http://www.techradar.com/reviews/google-pixel-xl-review,Android,7.1,,2150,4,4096,N,139.7,1440 x 2560,12,Y,850 / 900 / 1800 / 1900 ,10/16,,http://www.gsmarena.com/google_pixel_xl-8345.php,,,,
Huawei,Nova Plus,Huawei Nova Plus,32,'HWMLA',5.49,,£386.00,http://www.expertreviews.co.uk/huawei/1405236/huawei-nova-plus-review-almost-a-oneplus-3-killer,Android,6.0.1,,2000,8,3072,Y,139.7,1080 x 1920,16,Y,850 / 900 / 1800 / 1900 ,10/16,,http://www.gsmarena.com/huawei_nova_plus-8312.php,,,,
Huawei,P9 lite,Huawei Huawei P9 lite,16,"'HWVNS-H','HWVNS-Q'",5.99,,£449.00,http://www.trustedreviews.com/huawei-p9-review,Android,6.0,,2000,8,3072,Y,132.08,1080 x 1920,13,Y,850 / 900 / 1800 / 1900 ,4/16,,http://www.gsmarena.com/huawei_p9_lite-7983.php,,,,
Huawei,Honor 5X,Huawei Honor 5X,16,'HNKIW-Q',4.99,,£169.00,http://www.trustedreviews.com/honor-5x-review,Android,5.1.1,6.0.1,1200,8,3072,Y,139.7,1080 x 1920,13,Y,850 / 900 / 1800 / 1900 ,11/15,,http://www.gsmarena.com/huawei_honor_5x-7590.php,,,,
Huawei,G8,Huawei G8,16,"'HWRIO','hwRIO-L02','hwRIO-L03'",5.49,,£300.00,http://www.techradar.com/reviews/phones/mobile-phones/huawei-g8-1303378/review,Android,5.1,6.0,1500,8,3072,Y,139.7,1080 x 1920,13,Y,850 / 900 / 1800 / 1900 ,10/15,,http://www.gsmarena.com/huawei_g8-7513.php,,,,
Samsung,Galaxy J3 (2016),Samsung Galaxy J3 (2016),8,"'j3ltekx','j3ltetfnvzw','j3ltetw','j3lteusc','j3ltevzw','j3ltexsa','j3xlte','j3xlteaio','j3xlteatt','j3xltebmc','j3xnlte'",3.99,,£149.00,http://www.trustedreviews.com/samsung-galaxy-j3-review,Android,5.1.1,,1500,4,1536,Y,127,720 x 1280,8,Y,850 / 900 / 1800 / 1900 ,1/16,,http://www.gsmarena.com/samsung_galaxy_j3_(2016)-7760.php,,,,
Apple,iPhone 6S Plus,IPHONE 6S+ 32G,32,"'iPhone 6s Plus', 'iPhone8,2'",6.99,,£599.00,http://www.techradar.com/reviews/phones/mobile-phones/iphone-6s-plus-1303759/review,iOS,9,10.0.2,1840,2,2048,N,139.7,1080 x 1920,12,Y,850 / 900 / 1800 / 1900 ,3/16,,http://www.gsmarena.com/apple_iphone_6s_plus-7243.php,,,,
Motorola,X Force,Motorola X Force,32,"'kinzie','kinzie_uds'",5.49,,£479.00,http://www.techradar.com/reviews/phones/mobile-phones/motorola-moto-x-force-1307799/review,Android,5.1.1,7.0,1500,8,3072,Y,137.16,1440 x 2560,21,Y,850 / 900 / 1800 / 1900 ,11/15,,http://www.gsmarena.com/motorola_moto_x_force-7555.php,,,,
Motorola,X Force,Motorola X Force,64,"'kinzie','kinzie_uds'",5.49,,£514.00,http://www.techradar.com/reviews/phones/mobile-phones/motorola-moto-x-force-1307799/review,Android,5.1.1,7.0,1500,8,3072,Y,137.16,1440 x 2560,21,Y,850 / 900 / 1800 / 1900 ,11/15,,http://www.gsmarena.com/motorola_moto_x_force-7555.php,,,,
