Make,Model,Details,Storage,Device,Monthly Policy Price,Replacement Price,Release Price,Release Price url,Os,InitialVersion,MaxVersion,Processor,Cores,Memory,SSD,Physical Screen,Resolution,Camera,4G,Frequency,Release Date,Picture,Urls,Replacement Make,Replacement Model,Replacement Memory
Google,Pixel 2,Google Pixel 2,64,'walleye',7.99,,£629,http://www.techradar.com/news/pixel-2,Android,8.0,,2350,8,4096,N,127,1080 x 1920,12,Y,850 / 900 / 1800 / 1900 ,10/17,,,,,
Google,Pixel 2,Google Pixel 2,128,'walleye',7.99,,£729,http://www.techradar.com/news/pixel-2,Android,8.0,,2350,8,4096,N,127,1080 x 1920,12,Y,850 / 900 / 1800 / 1900 ,10/17,,,,,
Google,Pixel 2 XL,Google Pixel 2 XL,64,'taimen',8.99,,£799,http://www.expertreviews.co.uk/google/1406327/google-pixel-2-xl-review-google-s-supersized-flagship-returns-and-its-bezel-less,Android,8.0,,2350,8,6144,N,152.4,1440 x 2880,12,Y,850 / 900 / 1800 / 1900 ,10/17,,,,,
Google,Pixel 2 XL,Google Pixel 2 XL,128,'taimen',8.99,,£899,http://www.expertreviews.co.uk/google/1406327/google-pixel-2-xl-review-google-s-supersized-flagship-returns-and-its-bezel-less,Android,8.0,,2350,8,6144,N,152.4,1440 x 2880,12,Y,850 / 900 / 1800 / 1900 ,10/17,,,,,
Huawei,P10,Huawei P10,64,'HWVTR',6.99,,£550,http://www.trustedreviews.com/reviews/huawei-p10,Android,7.0,,2400,8,4096,Y,129.54,1080 x 1920,20,Y,850 / 900 / 1800 / 1900 ,3/17,,,,,
Huawei,P10 Plus,Huawei P10 Plus,128,'HWVKY',7.99,,£650,http://www.trustedreviews.com/reviews/huawei-p10-plus,Android,7.0,,2400,8,6144,Y,139.7,1440 x 2560,20,Y,850 / 900 / 1800 / 1900 ,4/17,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
