Make,Model,Details,Storage,Device,Monthly Policy Price,Replacement Price,Release Price,Release Price url,Os,InitialVersion,MaxVersion,Processor,Cores,Memory,SSD,Physical Screen,Resolution,Camera,4G,Frequency,Release Date,Picture,Urls,Replacement Make,Replacement Model,Replacement Memory,
Samsung,Galaxy Note 5,Samsung Galaxy Note 5,32,"'noblelte', 'noblelteacg', 'noblelteatt', 'nobleltebmc', 'nobleltechn', 'nobleltecmcc', 'nobleltehk', 'nobleltektt', 'nobleltelgt', 'nobleltelra', 'noblelteskt', 'nobleltespr', 'nobleltetmo', 'noblelteusc', 'nobleltevzw'",5.99,,£450.00,http://www.trustedreviews.com/samsung-galaxy-note-5-review,Android,5.1.1,,2100,8,4096,N,144.78,1440 x 2560,16,Y,850 / 900 / 1800 / 1900 ,8/15,,http://www.gsmarena.com/samsung_galaxy_note5-7431.php,,,,
Huawei,P9,Huawei P9,32,'HWEVA',5.99,,£449.00,http://www.trustedreviews.com/huawei-p9-review,Android,6.0,,2500,8,4096,Y,132.08,1080 x 1920,12,Y,850 / 900 / 1800 / 1900 ,4/16,,http://www.gsmarena.com/huawei_p9-7972.php,,,,
Motorola,X Play,Motorola X Play,16,"'lux', 'lux_uds'",4.99,,£279.00,http://www.trustedreviews.com/moto-x-play-review,Android,5.1.1,6.0,1700,8,2048,Y,139.7,1080 x 1920,21,Y,850 / 900 / 1800 / 1900 ,8/15,,http://www.gsmarena.com/motorola_moto_x_play-7454.php,,,,
Motorola,X Play,Motorola X Play,32,"'lux', 'lux_uds'",4.99,,£319.00,http://www.trustedreviews.com/moto-x-play-review,Android,5.1.1,6.0,1700,8,2048,Y,139.7,1080 x 1920,21,Y,850 / 900 / 1800 / 1900 ,8/15,,http://www.gsmarena.com/motorola_moto_x_play-7454.php,,,,
Huawei,P9 Plus,Huawei P9 Plus,64,'HWVIE',5.99,,£500.00,http://www.trustedreviews.com/huawei-p9-plus-review,Android,6.0,,2500,8,4096,Y,139.7,1080 x 1920,12,Y,850 / 900 / 1800 / 1900 ,5/16,,http://www.gsmarena.com/huawei_p9_plus-7745.php,,,,
LG,K8,LG K8,16,"'m1v','mm1v','mm1vn'",3.99,,£128.00,http://www.expertreviews.co.uk/lg/lg-k8,Android,6.0,,1300,8,1536,Y,127,720 x 1280,8,Y,850 / 900 / 1800 / 1900 ,4/16,,http://www.gsmarena.com/lg_k8-7927.php,,,,
Huawei,P8,Huawei P8,16,'HWGRA',5.49,,£359.00,http://www.trustedreviews.com/huawei-p8-review,Android,4.4.2,5.0.2,2000,8,3072,Y,132.08,1080 x 1920,13,Y,850 / 900 / 1800 / 1900 ,4/15,,http://www.gsmarena.com/huawei_p8-7006.php,,,,
Motorola,Moto E2,Motorola Moto E2,8,"'otus', 'otus_ds'",3.99,,£109.00,http://www.expertreviews.co.uk/mobile-phones/1402888/motorola-moto-e-2nd-gen-review,Android,5.0,5.1,1200,4,1024,Y,114.3,540 x 960,5,Y,850 / 900 / 1800 / 1900 ,2/15,,http://www.gsmarena.com/motorola_moto_e_(2nd_gen)-6986.php,,,,
Huawei,Honor 8,Huawei Honor 8,32,'HWFRD',5.49,,£369.00,http://www.trustedreviews.com/honor-8-review,Android,6.0,,2300,8,4096,Y,132.08,1080 x 1920,12,Y,850 / 900 / 1800 / 1900 ,7/16,,http://www.gsmarena.com/huawei_honor_8-8195.php,,,,
Samsung,Galaxy A7 (2016),Samsung Galaxy A7 (2016),16,"'a7xelte','a7xeltecmcc','a7xeltektt','a7xeltelgt','a7xelteskt','a7xeltextc','a7xltechn'",5.49,,£399.00,http://www.pcadvisor.co.uk/review/android-smartphones/samsung-galaxy-a7-2016-review-3642886/,Android,5.1.1,6.0.1,1600,8,3072,Y,139.7,1080 x 1920,13,Y,850 / 900 / 1800 / 1900 ,12/15,,http://www.gsmarena.com/samsung_galaxy_a7_(2016)-7759.php,,,,
Motorola,Moto Z Play,Motorola Moto Z Play,32,'addison',5.49,,£380.00,http://www.expertreviews.co.uk/lenovo/1405303/moto-z-play-review-the-modular-smartphone-king,Android,6.0.1,7.0,2000,8,3072,Y,139.7,1080 x 1920,16,Y,850 / 900 / 1800 / 1900 ,9/16,,http://www.gsmarena.com/motorola_moto_z_play-8310.php,,,,
